x	y	t
1	1	SA039_a
1	2	SA039_a
2	2	SA039_a
2	1	SA039_a
1	2	SA039_b
1	3	SA039_b
2	3	SA039_b
2	2	SA039_b
1	3	SA039_c
1	4	SA039_c
2	4	SA039_c
2	3	SA039_c
9	1	SA1054_a
9	2	SA1054_a
10	2	SA1054_a
10	1	SA1054_a
9	2	SA1054_b
9	3	SA1054_b
10	3	SA1054_b
10	2	SA1054_b
9	3	SA1054_c
9	4	SA1054_c
10	4	SA1054_c
10	3	SA1054_c
7	1	SA1055_a
7	2	SA1055_a
8	2	SA1055_a
8	1	SA1055_a
7	2	SA1055_b
7	3	SA1055_b
8	3	SA1055_b
8	2	SA1055_b
7	3	SA1055_c
7	4	SA1055_c
8	4	SA1055_c
8	3	SA1055_c
8	1	SA1056_a
8	2	SA1056_a
9	2	SA1056_a
9	1	SA1056_a
8	2	SA1056_b
8	3	SA1056_b
9	3	SA1056_b
9	2	SA1056_b
8	3	SA1056_c
8	4	SA1056_c
9	4	SA1056_c
9	3	SA1056_c
4	1	SA1101a_a
4	2	SA1101a_a
5	2	SA1101a_a
5	1	SA1101a_a
4	2	SA1101a_b
4	3	SA1101a_b
5	3	SA1101a_b
5	2	SA1101a_b
4	3	SA1101a_c
4	4	SA1101a_c
5	4	SA1101a_c
5	3	SA1101a_c
5	1	SA1101b_a
5	2	SA1101b_a
6	2	SA1101b_a
6	1	SA1101b_a
5	2	SA1101b_b
5	3	SA1101b_b
6	3	SA1101b_b
6	2	SA1101b_b
5	3	SA1101b_c
5	4	SA1101b_c
6	4	SA1101b_c
6	3	SA1101b_c
6	1	SA1188_a
6	2	SA1188_a
7	2	SA1188_a
7	1	SA1188_a
6	2	SA1188_b
7	3	SA1188_b
7	2	SA1188_b
6	3	SA1188_c
6	4	SA1188_c
7	4	SA1188_c
7	3	SA1188_c
2	1	SA906a_a
2	2	SA906a_a
3	2	SA906a_a
3	1	SA906a_a
2	2	SA906a_b
2	3	SA906a_b
3	3	SA906a_b
3	2	SA906a_b
2	3	SA906a_c
2	4	SA906a_c
3	4	SA906a_c
3	3	SA906a_c
3	1	SA906b_a
3	2	SA906b_a
4	2	SA906b_a
4	1	SA906b_a
3	2	SA906b_b
3	3	SA906b_b
4	3	SA906b_b
4	2	SA906b_b
3	3	SA906b_c
3	4	SA906b_c
4	4	SA906b_c
4	3	SA906b_c
